idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,sampled for testing
1,refs/heads/master,b3576aec5925cb7a7828ee722649c2e97970c0c7,d4bcfa048d8ff95ce815a22060837e8ec942ef82,3236089b61b2a4abea674147c309a88fd508d3fc,,False,False,True,2,1,2.0,0,False,2,False
6,refs/heads/master,91551bbad2a4935ef097a42b44197cc2906b0738,e307ecbeab27e8efe8c8420650490f4fd32901a4,d7fd54dc4af3899aa204a1447111de89943235b5,,False,False,True,6,3,28.0,1,False,6,False
7,refs/heads/master,e307ecbeab27e8efe8c8420650490f4fd32901a4,337b2b0dd389d827e22c6283f55626376365e5dc,246935ad6b2256740a4cb1f27a18bb5650b6a8c8,,False,False,True,6,4,90.0,1,False,6,False
8,refs/heads/master,337b2b0dd389d827e22c6283f55626376365e5dc,1eacdf9d8a70d98f082585e06bebc66dc394e27b,b0f6b0c90ec3bcada9d6f2c4df44cc98c28094c1,,False,False,True,5,3,79.0,1,False,5,False
9,refs/heads/master,2ed920b6df06e384e7205edfcc82f9d7f5fd77a7,72b851b86a478341bc331d3ed91139344e0add6c,2ca54235aa49ef7c70ef0020618b88412d047b58,,False,False,True,7,117,983.0,1,False,7,False
10,refs/heads/master,72b851b86a478341bc331d3ed91139344e0add6c,c07418c86ac1635a2819a756fced687d96c43e65,c2a8310d2f28f4b2b409928b514c2b577fa299a1,,False,,True,15,15,,1,False,15,False
11,refs/heads/master,01597ff728c90f514af047db8c95d3631986153b,53c5e4587adb6cb4fe2255aa9e8d09f48b1c74b1,8100afb44c8aa3fac15e00e9deba2a1217222c7e,,False,False,True,2,4,22.0,2,False,2,False
12,refs/heads/master,c05e91765292bd9cd01b6db777f649603386e8ab,df76f7ce02c68aedbe7073deedec4e39ccdbca4f,3a598716f313cd49a876d702c098e3d9b0959112,,False,False,True,3,12,18.0,1,False,3,False
13,refs/heads/master,3a598716f313cd49a876d702c098e3d9b0959112,428872e46155bf0c16e123c20a5627402fb3084e,cebdc7574390d29192c95c6834cc2e89b4431463,,False,,True,15,15,,1,False,15,False
14,refs/heads/master,428872e46155bf0c16e123c20a5627402fb3084e,84917cbce1ff31819b3f2e22a3dcefaf34bf7178,b3ba8e0f77377669c4ad8eb5ce071265d70ea5e0,,False,False,True,3,36,461.0,1,False,3,False
15,refs/heads/master,928301408018f413a3a20584d296cf5f9be58ce8,e0e0cba1c3d9ae50b88dbf8725b6d540b5ab4a80,3f8c961330b573783653ba4cc12fe94b04d7c95a,,False,False,True,6,75,2241.0,2,False,6,False
16,refs/heads/master,67b995bc57896ed68bf71c644140cddeed954db1,9d421b7eeeb71c7a72779ee373e0479d491a84bd,a4d63831ac1b683e957e7068740a1b9cc7f96a22,,False,,True,16,16,,1,False,16,False
17,refs/heads/master,e2e994a53e86807e53ec181f14c7347ebef4a21d,b68bd365d637df5a5807ab79254275499ab77a53,8589f8c14ab8483e2080ef90470c6ab20dd1f8a3,,False,False,True,4,9,59.0,1,False,4,False
19,refs/heads/master,e1ea9146cf587f9962eac5825bf25d83870fa700,9e7fa0f335a1b0c60ee478581d58c6205e336aa1,d83ad6d5f765b16aedd8f1113ac4220b0e9c9860,,False,False,True,4,4,13.0,1,False,4,False
20,refs/heads/master,5e6e4646b69a3ab2e48c5ef62b4b082f84f54faa,f0f41c152a584268dffe1fe23672ee8aaac495de,320f0ce3da829c972490f48bc52d85472ed59802,,False,False,True,3,3,14.0,1,False,3,False
22,refs/heads/master,d51d77738a6177dc8a5b17aa55964ec457cfc272,2baef9a94ba880f3637212cb9ba184e7c572b512,ded94a61b7dccecf428c8af9bdc89ecc4b9573ed,,False,False,True,6,22,55.0,2,False,6,False
25,refs/heads/master,6cf0192cb5bc8a5519001594705f9529dbb410e5,2039ec0cdc96275c39a657972b1c50ca46d6a990,b2872df6b14307f7274113038513abacb01fab18,,False,False,True,3,6,16.0,0,False,3,False
27,refs/heads/master,4d0851bdce190d9180da6f0e937014fabcb611c2,951bee63660e3b794ccd935b9375810975e3655f,3a204e8ad4a414badda115b0ea0f5aea93f334de,,False,False,True,6,9,86.0,1,False,6,False
28,refs/heads/master,d5bd597a5c7037b34a738d904bba666bdede0a19,689713f08faf2a724e1d911929b34c07851c822b,39fb3eb505a558eb1023d3e30e6625ca5628efdc,,False,False,True,7,30,246.0,1,False,7,False
