idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,3f2937584943fd059c76f4579a9f63f5e27ebc0d,49bdfc22b6111feffbfda0bf3b89f7792fd56dfd,664161dae9818995dbcc2a23a65f7c9d343c0bb5,a parent is the base
2,refs/heads/master,702b92ba1d5c46a78ee266ddffd12103fd38de48,b7cca5ca9f9fe7966c69f2eda68cf7c3ff3b2ba2,b6cd35acf200521e5e29750746f5416c550d7264,
3,refs/heads/master,b7cca5ca9f9fe7966c69f2eda68cf7c3ff3b2ba2,eaeb26577b5785cb301faf1f89f7311f75138cc6,96ca1eedc0994d2ef19f87cc58f43daea6f85945,a parent is the base
4,refs/heads/master,f7bf27ae0fc73a34824b3c9ad37cc8f07b2ae3a9,3d0f10d1cf7dfb1dc09d0968cdec26d56ebc1f53,7073d5d25fb0140877fc4be0d2774ab8a38b7ec5,a parent is the base
5,refs/heads/master,91adecbf2a436f60b826d3b4dd02d268c4d16257,bfe1c61772c38b3a7a2c5edf4d7cb66b01705312,e545393f7b100aa895bf8a9d04214afecd4adb22,
6,refs/heads/master,b2b641153b477bce7f4b7125754d8ec0528c9e35,3f22f1dce54216158eae0a45a7755122c16aee7b,6d3fb57b1360d8a472523035dfe6781e8d44cca1,a parent is the base
7,refs/heads/master,8cfd2559591c29e4a480fe01a52a8059b740c049,116001eb298dee3d0e7a2521567dd75c3134fe27,2849ab7fe71d8f8a6d0db6e7ee2dfbb8b995afa5,a parent is the base
8,refs/heads/master,2c9f4cd9eb430890a53c3e7a1d05ebf8721bfbbe,35cf499883838f4c630ca421ad725bc703e9dc3e,116001eb298dee3d0e7a2521567dd75c3134fe27,
9,refs/heads/master,bd4c5f741d39374d490ac2850c03ec645f5f0ec2,5c0ff2f62a4f2dc216a3434d3961ea90d94e6c8e,98c1648f5f797375ef855a02a6682c9626316922,a parent is the base
10,refs/heads/master,b10df871a471d4c7ba0b8efc12b2f158be562dc1,9e10111614a6f64d999c2c584d485609a5055b41,f2bbfe95cfd0df3f5d288800f832aafd58b3925d,
11,refs/remotes/origin/pull/10,37d72ddc7cc2624a2b6aa62c317f11ff68413e4f,c78ac6f48525926646e3a2f58b56326bf82ffdd8,116001eb298dee3d0e7a2521567dd75c3134fe27,
12,refs/remotes/origin/pull/10,c78ac6f48525926646e3a2f58b56326bf82ffdd8,617950b6f1f16a2207e3ecbfd8935f79ea930ed3,5c0ff2f62a4f2dc216a3434d3961ea90d94e6c8e,
13,refs/remotes/origin/pull/12,31d2c7d50fe3034b41847a8081070c924810a733,84ddebbc5651e4646ffea38a4dc1cf61adc33e26,3f22f1dce54216158eae0a45a7755122c16aee7b,
14,refs/remotes/origin/pull/15,35f56250677614f525c62aed43c386e9bce16384,762dfeeab5f471e8cfb38faec23e60bab63e478f,4246e102c544b2cbdf4f505f9b6062d47f14cc09,
15,refs/remotes/origin/pull/16,fed14c0074c778058c5c6407c0d3851a48745643,3d42bdb33d25151c7eb51be29b54cd79f18cbea6,76f96715817507d662dba476143d4a55649d8eae,
16,refs/remotes/origin/pull/16,3d42bdb33d25151c7eb51be29b54cd79f18cbea6,d949ed7ec839f4b86765c33f70d7e10f4352b9f6,071d53741d0e6352ad2592552c9f038ee14fe488,
17,refs/remotes/origin/pull/16,d949ed7ec839f4b86765c33f70d7e10f4352b9f6,24bb01be64292c55d01621c24f909b4a201a94aa,352725327f1072cb1378c1ff2330741a207ea245,
18,refs/remotes/origin/pull/16,24bb01be64292c55d01621c24f909b4a201a94aa,6a08e909a690ef4705e2060197b8019f357c1e96,1dcbfa22c260609b9871030df1cb78584746bb3c,a parent is the base
