idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
4,refs/heads/master,b90e5ce3f9aee8fe812b7fdfd4015637479eedfd,56181f31644e7b77f0137131ef5349b88674dc69,2bccfe22bab9a9e810ff9274e1f040ed83c5b79c,,False,12,,,,,,,,False,False
6,refs/heads/master,2015312d3fb054f3a5862da6b35794c4c837edd9,133dc483e908adb5ef6716995bf5a5a9f3ded97b,1ed80f079a283ebe7d35d6702f5003ab5e861df8,,False,203,,,,,,,,False,False
7,refs/heads/master,133dc483e908adb5ef6716995bf5a5a9f3ded97b,dc77558eecabd7a6afbaa6ca937d4ef7fa9d1799,2bfa4914cffd139a374bfecaaa43568698346440,,False,198,,,,,,,,False,False
8,refs/heads/master,dc77558eecabd7a6afbaa6ca937d4ef7fa9d1799,83ac369cbe66ab16551c679ce55569e125591598,489654b931f0c0ee014d4fdcda07884b8d0b3280,,False,99,,,,,,,,False,False
9,refs/heads/master,83ac369cbe66ab16551c679ce55569e125591598,ff65611dfc8d34d21aaf7eed8c7a42480be0624e,25b298c62354b897e7768b73a05ed06f793a4409,,False,108,,,,,,,,False,False
12,refs/heads/master,27c8e46934a68de49b11804a35362427d9b3034f,dc6f54611c3fb6af8d39e246ee88eed39409ae29,feeca9af42b8b9917900834513938f9e25572cf3,,False,210,,,,,,,,False,False
15,refs/heads/master,6ce2a132cba9b6639ffd8343441a71b0bb744161,011e8dfa8cc66a2e6da48351f614289337d6fc5d,0155d9b855222984158e464a6cba987b058b6a9e,,False,296,,,,,,,,False,False
17,refs/heads/master,fc3aed36900ebcb02cbf65389e1c8dc74f4060b5,50b9750168e8979bb3266b1fad205dcdbe2a11ef,85c651dca469d9326d6cf6858e034ab88480c8a1,,False,176,,,,,,,,False,False
18,refs/heads/master,85c651dca469d9326d6cf6858e034ab88480c8a1,22d6ea02f6e4d1849d3f055926f446f9e63acc19,f3c12ed2c4e4d114b3085d424d20d6c39d44ed78,,False,42,,,,,,,,False,False
19,refs/heads/master,22d6ea02f6e4d1849d3f055926f446f9e63acc19,d17eaad1810b1da672e45af20a223448d36d2d36,e345dcf21b90c6de91837fda614fcbac82983f85,,False,107,,,,,,,,False,False
21,refs/heads/master,ce9663748e3e8e74fd0a3b2b3698a414dbced779,b06a7c1f704fde6749a33224b84e854c1568f428,bfd113c445ddd1296067889dc9104b2ebc6a1650,,False,27,,,,,,,,False,False
