idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge
3,refs/heads/master,179f941edad863d9265350ff20f8fbbd66e6f43a,0565205c3167319138b15d2c23b74ddc17a37ef7,91d6521cf888e4099eb613db0bb2e76096663e15,,False,,,92,False,,,,,,False
4,refs/heads/master,0565205c3167319138b15d2c23b74ddc17a37ef7,93c1e74f1720207cb7c88e00e54dcf0e3e73d4cd,dff824764349d9e19d390018c6d93e85d6fa07a2,,False,,,34,False,,,,,,False
5,refs/heads/master,b44b61cf8d2b4c92148c7bc5e37fa221bb6be43c,9af5f2fcf3f023cf3043b33affdbcd2aad210a57,793ac06a4f6d8d04224d494f85dd789be0aa93a5,,False,3084ad2fb356f3a3c3fbac6a8af91b4098eb9cc37a4c70ff9a6e9c14c137d7e0,b1b7b157ae9568cb0c3bb64441d74a67119c92725902e3912f514b82700722f5,5,True,Tests_failed,0.0,Tests_failed,0.0,False,False
6,refs/heads/master,793ac06a4f6d8d04224d494f85dd789be0aa93a5,abd4a3fd4cc9838d4a6a1c2b5e1976a4e43468a5,027339ae628025277a514d282050c1a7fd2d1a1b,,False,,,30,False,,,,,,False
7,refs/heads/master,20a7a55e537181489fcb9a2d42a3e539db6c0318,e4a0b0a602b2e68bea2967b72c227cf61b1d91a1,817a678296c7d22c94d395a9cd95cc50a6c2c0f3,,False,,,5470,False,,,,,,False
8,refs/heads/master,e0205e647461340fcbdf2de516d1cd0ad9fd1154,e0334f468311935d4d6bd424f3e0cfadf04fa8a6,c1ffe5a99703df9a2a03eb738a62b4e06146d732,,False,,,19,False,,,,,,False
9,refs/remotes/origin/dev,725afae528bd9258c20c63e983431cd916588ac1,02f28f16fbc7e3c291741c049924f42319aad671,139862ff8a8d17ef96309c159b61bddd9dd664b5,,False,,,16,False,,,,,,False
10,refs/remotes/origin/pull/150,422d2e200146f0d41d3f745a3ed43d2fb72adc94,e2f19891bfeef6c250918c1401c16e5110daaa74,f757d8cd26be51baf315ae855ffb273563803aaf,,False,1617fadeee5ef8db429cc7735b8e7dc8ffd48e1af24d0623ce36a6dfb3bdbcc3,dec46daba2c2e4f62f9ea3941d003d89c2b164a944a7d7d34888257f178721f4,387,True,Tests_failed,0.0,Tests_failed,0.0,False,False
11,refs/remotes/origin/pull/82,0e2028275e41ece3418ce281e20aee78fe20c9f5,526cd69f0fbdb52ce2e8d21dba26b27b351a1ac1,1c693a38122c113391a4cb0c2590dbcc5e3da656,,False,,,85,False,,,,,,False
12,refs/remotes/origin/pull/82,bc8708146ab70d0da38742f465be7feaaea84121,c068b1bbabce3e2bf50dbd7d8db0a8440e80f00c,4b2a9dc8b4555c99af8065d943a7531469243f42,,True,89c6d85613b609c724972b38b998272998e6a25abab754e95353a00665bb9e01,4f2e2783729b142719ee0bb409ef3499ad24a892954195df09bdcfaab0b30412,65,True,Tests_passed,0.0,Tests_passed,0.0,True,True
13,refs/remotes/origin/pull/82,4b2a9dc8b4555c99af8065d943a7531469243f42,5597336d3b2adb91de44891e63d8ae3f60ca3531,7480b8f0d4ab5a0ded852a36c8eed5baa0b5c6d6,,True,91be77871f4c01a1e4754346517192ec07033611c383c79b5283507a93d83b48,5bc1c5cf0bbf1522ee5eb7cad6f6291192ec2eb8567fdfcb18fbaa64a7523db8,38,True,Tests_passed,0.0,Tests_passed,0.0,True,True
14,refs/remotes/origin/pull/82,7480b8f0d4ab5a0ded852a36c8eed5baa0b5c6d6,f5d09f47ffb5f52ae20ac4cd4112542d1e2c1c5f,04d6d5810e253b8277638c28200ae75c6e6d125d,,True,c7ec03857e52e98cff595ff5d238f0b3e3235a9fdccc29a913c7a869cbd2e21b,459f4f22b154fa14f11e92a6c07faf7b78631f2f55e07a1faf12ca97f7409e8c,120,True,Tests_passed,0.0,Tests_passed,0.0,True,True
