idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge
1,refs/heads/master,f96e05486c8dd41084214f4b838a87f178be0aaf,5447d306ea80a0456d238bfb9efbf00f751888ec,0a428f6e1666a631634281f20d25247cc5113391,,True,fabc06883f3f15ecebc660147510299fb0202b9e403e0f6cfdf7b36ee7bd85a3,be577c7ab7725fb84c2ece1e68b42ad70e3305cdc1a4f05914713a7bb4586935,37,True,Tests_passed,0.0,Tests_passed,0.0,True,True
2,refs/heads/master,401b61c74b322aaea0f74deebdcfc0cf4b26e314,697b973d67c4b3d183e586e18abe45be03295125,95dbdb8e58b2e7015eb32b67967e39f701406611,,True,da621c940152ead0eb9846b976a860dc578e9eae11e70101ecfb21843ed093b4,378a9e90e4b067249824e30eaf0ce88eb5b7cbc49105aa174b12699cee2cfda4,36,True,Tests_passed,0.0,Tests_passed,0.0,True,True
3,refs/heads/master,95dbdb8e58b2e7015eb32b67967e39f701406611,da92cd057d441dd2c13d79cf564b995063ec1d3d,0eb6fd8464b7814d5f1a9588086a53e0633f2ccc,,True,80c2b8e781f067f30b20604451a9e29a2ce16833b10b34cafcb12f759a90a724,378a9e90e4b067249824e30eaf0ce88eb5b7cbc49105aa174b12699cee2cfda4,1144,True,Tests_passed,0.0,Tests_passed,0.0,True,True
4,refs/heads/master,435ecd93248d64d3d34f9cca97bb8eec7b234d3b,37db515a8cbe5dac8e02d60efc0730d30a145c2d,377ad421e0d6d991183a146ac1f653fdc92dbc58,,False,c45b73cdb883f29cc22cdcfda87724fe225bda8fd617c730260574d37f1b5c43,718de9cebf1ecaee125f7fba71595704554a460b616254b7486451fe3a090942,932,True,Tests_passed,0.0,Tests_failed,0.0,False,False
5,refs/heads/master,906845cb227925e30fd233884a705fd228a443ea,17c5a14159871cdd1ff222869741ae874af805a4,7eed63f4a3b9f13578d3ec6ec515fffea0c0794a,,True,659fd16281d9a9ab4f0bba9dbdb92b5923af09c0ddb8e0c634cd1d7bb1be2aec,d4d63a0c5d01d1e1f6467f6b577bb42ab0d1335dd0029d52e07707d5d2563f21,38,True,Tests_passed,0.0,Tests_passed,0.0,True,True
6,refs/heads/master,12a5b54313fe7c4a0abfe425e4bf68296af53115,3212bad1c02fbc06c4d7e400b0bac87980f320e9,002cb47b460e7353d8fa0217f27787658c51a049,,True,d5e140c90c0f621a53607c6499ad0bfaedf00456a9813f598846548cb2e98e16,ba786e1019c54534b7c18d9baae49bc52b694d41306ea7b8bc002e37218092e4,29,True,Tests_passed,0.0,Tests_passed,0.0,True,True
7,refs/heads/master,995c25dc87eca84847991a1217944c665e69a7e8,90602c52df891bdf08c0679cc136d4eb55fc0416,3535f3bd940d81277f5f4f4c0677664370f0ea5c,,True,2e0a5ff305606962941f26297bd7e52c44df441b71a370d21cf81559923c5c1e,807337aed3817eebcaa308e4df75bedeb82a9f5c67c2590e56392762b74238dd,100,True,Tests_passed,0.0,Tests_passed,0.0,True,True
8,refs/heads/master,b0552bf28d15cb72e4cb848baf5d40cc59d2977c,be08a67f0822179f60b5a9d52475da8ba72bff0b,b8b2e3962a3d24f24c1ab123b866a1cec2fcbbff,,False,95fbae0a12775edebcdc23816aebac6d60e41adb019a0e3cbf96299a68bcdde2,43fdaeee9fe9cb8549525cd1f1c726fc5eb6f7658dbb69926c830dda76c470de,68,True,Tests_failed,0.0,Tests_failed,0.0,False,False
11,refs/heads/master,5d91930a863c887977ddc8fec73f6fba262b54f7,fc9e7ca188db1817f59cb5611b3477ad2a7ea387,6a7fca5f2401d790a4fd47b779e9b3e42c7c6200,,False,89e00ec5d518ff67dc26db00e6a45075310e4e979b9a96717bc8465f8de8a51c,0cc1e4854a5e10c5c1dea387f584790ce8cb591d3a719dc84e43d48287ea1a76,21,True,Tests_failed,0.0,Tests_passed,0.0,False,False
12,refs/remotes/origin/dev,7751662663c18ebafffc8b33441ecc742eed6849,ac8d7ac72b62150dbd4229cf4d0fe3eb76bc23c5,091a94c6d4c67b9304fd25cd773e1904bf090b8a,,False,,,319,False,,,,,,False
13,refs/remotes/origin/dev,ac8d7ac72b62150dbd4229cf4d0fe3eb76bc23c5,56c08bcd0ceb1ddf1c0f73edc6d3469bd75caa6c,b1c5432e0daf3379a7502990d7a35454367127ad,,False,,,344,False,,,,,,False
14,refs/remotes/origin/dev,3117243698a5f0c77ae34f368a94aeef9f11cf63,3d00052b3b991051b4b71bc4868c431a2c32af2b,1b1424f3b7a129e00c2851c446e88d0d45a589a3,,False,,,42,False,,,,,,False
