idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,163a839db5774b3008fea21da9c66ba9cbc83929,30af9801acc11be7d25219fec3e84a83af9d1d3e,39ca89723dc3d1a34381642eaa254f30caaafee6,,False,False,,,,,,False
2,refs/heads/master,30af9801acc11be7d25219fec3e84a83af9d1d3e,a836e60f4c74368cdfe16ff6a4e71c7c93e9a9c4,c611545d496ce27423abc2869b81a88fcb4f286d,,False,False,,,,,,False
10,refs/heads/master,cacb36ead0dc4eb08800e6e6f0d5fecdd45598c3,f2fe315dc4265a8c59bd30b686f6ec96fa5b371d,052b31b5777aa5e75fe92608dd0ef6258b61f620,,False,False,,,,,,False
16,refs/heads/master,673fa70d9d3e2d9f6ffb352c5c7815e72ec73dd7,e2175fb7672b6d4bafbbe09f2d54e42f4d5878bd,25d60ceb525c8eecfe306c38c509bfc62c9a5c5b,,False,True,4cfffc9268b93f018a2027ef85844b662daf4c15869fa452385f020407aeb3db,Tests_failed,1658f1fedea621149d334f6e3dcd012f0b3a784d09ded29c31d5dc60be94769e,Tests_failed,False,False
17,refs/heads/master,25d60ceb525c8eecfe306c38c509bfc62c9a5c5b,2a4d58a893b867a4c7e4676eac24aa3e4b342219,84ea4fef71eb23cc554b9ebcf66bd63f89bf2caf,,False,False,,,,,,False
20,refs/heads/master,9bc59e5e2f1794fd441ba98839ddd2b99a570fbd,661c089b8acf749b758d08c80b5d555c74597e31,561ca49719455e3c4bcec9ca92b150c05db5ba1a,,False,False,,,,,,False
22,refs/heads/master,0842f173d13994369c1eab615ff55047e4a293f5,d9c686c25602423242b71d8632f9bd0f25b09c71,a10ef2d4d13fd23146461f4d5d4bc83dce9e9a2b,,False,False,,,,,,False
25,refs/heads/master,deab5c16a740c0ea196bf908738a9dcfffb4ce95,d015bd749ee70b9d75507748b9020949829ab80d,0b997ee8bb0b854dc036ed7a925655afdf55e49e,,False,True,5f42031e276ef07ceb306f33ca6c5f0527330c4f330e3214f5bd6892a976995b,Tests_failed,8fd960379ab64f8ed3d765231743294b0789d62e8d50b915dcd134a89865c670,Tests_failed,False,False
26,refs/remotes/origin/make-roaring-runs-configurable,4f6934b8d964013b5c9ce574dc31a778986a1f04,f8caddd64522c2f0ad3ed86b2aeabb032e24af22,2705228b85b175d047f98c07dc69b023e92980fa,,False,True,a4f9d4546bf27d359a8700994cc6270af7a7b57e4552fbc74561ff53df37e784,Tests_failed,0f5ed753354edc8a098a08b7bd4d8267dd30f926bf71a22ad4050491f087e18c,Tests_passed,False,False
28,refs/remotes/origin/pull/30,df34a433f7481123bd089dc076565bea8170e32c,8b754b42270318a17262edde00ef423f4745724e,193f0a076a39626e3359c094ec15b6ec5e1e0319,,False,False,,,,,,False
