idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,1b223ba083e8098adceda37fc9cfefa2560c7d3d,c47ecfbb36016c99fd2ed9249195a3fcd68a5016,ee2b3799552ebb4ae9c4d0b386b1b9f2873813f4,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/c47ecfbb36016c99fd2ed9249195a3fcd68a5016_ee2b3799552ebb4ae9c4d0b386b1b9f2873813f4_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/c47ecfbb36016c99fd2ed9249195a3fcd68a5016_ee2b3799552ebb4ae9c4d0b386b1b9f2873813f4_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/c47ecfbb36016c99fd2ed9249195a3fcd68a5016_ee2b3799552ebb4ae9c4d0b386b1b9f2873813f4_left_right.log'}",True,True,11,53,False,,,,,,False
2,refs/heads/master,7daebc4e468c678bcdecc54223289a703618bf17,daea4f4780913aa0068ee842368c5f42bdfcbb68,c36903e1650046cf5a0bf70f96c6daa75417c4e8,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/daea4f4780913aa0068ee842368c5f42bdfcbb68_c36903e1650046cf5a0bf70f96c6daa75417c4e8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/daea4f4780913aa0068ee842368c5f42bdfcbb68_c36903e1650046cf5a0bf70f96c6daa75417c4e8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/daea4f4780913aa0068ee842368c5f42bdfcbb68_c36903e1650046cf5a0bf70f96c6daa75417c4e8_left_right.log'}",True,True,11,415,False,,,,,,False
5,refs/heads/master,8034f1509f356860eddff14bc354decd2af3de1e,99af91c73da6f5f7e9b8f56554521a78f2d89526,2aa4ca916bfbbe54ed98a91d9d38eda6922a898e,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/99af91c73da6f5f7e9b8f56554521a78f2d89526_2aa4ca916bfbbe54ed98a91d9d38eda6922a898e_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/99af91c73da6f5f7e9b8f56554521a78f2d89526_2aa4ca916bfbbe54ed98a91d9d38eda6922a898e_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/99af91c73da6f5f7e9b8f56554521a78f2d89526_2aa4ca916bfbbe54ed98a91d9d38eda6922a898e_left_right.log'}",True,True,108,64,False,,,,,,False
11,refs/heads/master,b21af71cac0e5a6e173ea64021758723abec58ba,7538492036adb0f8a83844d275c41c1ac9f34f51,0cbb7237bf0793f473823baf8bf8acff9b42b761,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/7538492036adb0f8a83844d275c41c1ac9f34f51_0cbb7237bf0793f473823baf8bf8acff9b42b761_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/7538492036adb0f8a83844d275c41c1ac9f34f51_0cbb7237bf0793f473823baf8bf8acff9b42b761_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/7538492036adb0f8a83844d275c41c1ac9f34f51_0cbb7237bf0793f473823baf8bf8acff9b42b761_left_right.log'}",True,True,30,263,False,,,,,,False
17,refs/heads/master,b0249ccb299a5412359e77994bef00be41ad0432,5a5040fb9fbdd773782b11557bac850ed68e64ec,d8e9116463f28992012c151501de19d639c32cf2,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/5a5040fb9fbdd773782b11557bac850ed68e64ec_d8e9116463f28992012c151501de19d639c32cf2_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/5a5040fb9fbdd773782b11557bac850ed68e64ec_d8e9116463f28992012c151501de19d639c32cf2_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/5a5040fb9fbdd773782b11557bac850ed68e64ec_d8e9116463f28992012c151501de19d639c32cf2_left_right.log'}",True,True,11,107,False,,,,,,False
20,refs/heads/master,d8ddc534ebe43b6ca3737002c13a2c87a05abfd9,55ed88e82028aaa6e59fd307ba62724ae95da41b,29b1a00780ba421c408d2e2c47fb41551dbeb456,,True,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/55ed88e82028aaa6e59fd307ba62724ae95da41b_29b1a00780ba421c408d2e2c47fb41551dbeb456_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/55ed88e82028aaa6e59fd307ba62724ae95da41b_29b1a00780ba421c408d2e2c47fb41551dbeb456_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/55ed88e82028aaa6e59fd307ba62724ae95da41b_29b1a00780ba421c408d2e2c47fb41551dbeb456_left_right.log'}",True,True,5,40,False,,Git_checkout_failed,,Git_checkout_failed,False,False
24,refs/heads/master,384b1a6570de96f930f0dc2844b49bdbfad54335,9a8df3a66ae4238b656a3c7f7de51bf05306ccbd,419fa1cf9143efe64cd2317714e92089e825eaa0,,True,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/9a8df3a66ae4238b656a3c7f7de51bf05306ccbd_419fa1cf9143efe64cd2317714e92089e825eaa0_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/9a8df3a66ae4238b656a3c7f7de51bf05306ccbd_419fa1cf9143efe64cd2317714e92089e825eaa0_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/9a8df3a66ae4238b656a3c7f7de51bf05306ccbd_419fa1cf9143efe64cd2317714e92089e825eaa0_left_right.log'}",True,True,65,1775,False,,Git_checkout_failed,,Git_checkout_failed,False,False
26,refs/heads/master,a8de7cb48ce263ade8a4e4c85b5189b26aea0084,66c948c954ba35f98003b4f319b16009403460c5,6ea45c8f39d161a3b492d99f372aa741e27b8608,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/66c948c954ba35f98003b4f319b16009403460c5_6ea45c8f39d161a3b492d99f372aa741e27b8608_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/66c948c954ba35f98003b4f319b16009403460c5_6ea45c8f39d161a3b492d99f372aa741e27b8608_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/66c948c954ba35f98003b4f319b16009403460c5_6ea45c8f39d161a3b492d99f372aa741e27b8608_left_right.log'}",True,True,6,81,False,,,,,,False
29,refs/heads/master,ab1416a0a76aeb1b48a7ed36ea6181ae6b3632e3,6f1c211e388548d7abefdaccf284218dc7e89337,f67bfe4c2b94f9cc391c04d4a9b7e4e461c79e1c,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/6f1c211e388548d7abefdaccf284218dc7e89337_f67bfe4c2b94f9cc391c04d4a9b7e4e461c79e1c_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/6f1c211e388548d7abefdaccf284218dc7e89337_f67bfe4c2b94f9cc391c04d4a9b7e4e461c79e1c_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/6f1c211e388548d7abefdaccf284218dc7e89337_f67bfe4c2b94f9cc391c04d4a9b7e4e461c79e1c_left_right.log'}",True,True,5,256,False,,,,,,False
35,refs/heads/master,be90c68735cdf21d8ffffdc412fe249045955ef1,1f0706afce4b45ba394c5dff0ec856d49cd1ec8f,ffcfc022ff49238c593df100cd638947b1b3125b,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/1f0706afce4b45ba394c5dff0ec856d49cd1ec8f_ffcfc022ff49238c593df100cd638947b1b3125b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/1f0706afce4b45ba394c5dff0ec856d49cd1ec8f_ffcfc022ff49238c593df100cd638947b1b3125b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/1f0706afce4b45ba394c5dff0ec856d49cd1ec8f_ffcfc022ff49238c593df100cd638947b1b3125b_left_right.log'}",True,True,3,18,False,,,,,,False
36,refs/heads/master,1f0706afce4b45ba394c5dff0ec856d49cd1ec8f,5bc143c02947a9d1774453ef592d83cc0b9e4496,828c57fbe686b5fc9a755c184d2c1cfccb08c91f,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/5bc143c02947a9d1774453ef592d83cc0b9e4496_828c57fbe686b5fc9a755c184d2c1cfccb08c91f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/5bc143c02947a9d1774453ef592d83cc0b9e4496_828c57fbe686b5fc9a755c184d2c1cfccb08c91f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/5bc143c02947a9d1774453ef592d83cc0b9e4496_828c57fbe686b5fc9a755c184d2c1cfccb08c91f_left_right.log'}",True,True,3,16,False,,,,,,False
37,refs/heads/master,b34488accdde076428ea747290b786f7c2de8e07,3983e7d2e6449b38a680b349813636f8287f9d86,acd75bccca073a60391d95deb1268852b856c1e9,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/3983e7d2e6449b38a680b349813636f8287f9d86_acd75bccca073a60391d95deb1268852b856c1e9_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/3983e7d2e6449b38a680b349813636f8287f9d86_acd75bccca073a60391d95deb1268852b856c1e9_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/3983e7d2e6449b38a680b349813636f8287f9d86_acd75bccca073a60391d95deb1268852b856c1e9_left_right.log'}",False,True,3,13,False,,,,,,False
38,refs/heads/master,3983e7d2e6449b38a680b349813636f8287f9d86,fd156b7e59cdfa2e7eb8c4fd020b315b3e91125a,9b1eecc29de9a4bea23e5bc411e1b0367dc5fef8,,False,"{'base_left': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/fd156b7e59cdfa2e7eb8c4fd020b315b3e91125a_9b1eecc29de9a4bea23e5bc411e1b0367dc5fef8_base_left.log', 'base_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/fd156b7e59cdfa2e7eb8c4fd020b315b3e91125a_9b1eecc29de9a4bea23e5bc411e1b0367dc5fef8_base_right.log', 'left_right': 'cache/diff_analyzer/logs/jenkinsci/email-ext-plugin/fd156b7e59cdfa2e7eb8c4fd020b315b3e91125a_9b1eecc29de9a4bea23e5bc411e1b0367dc5fef8_left_right.log'}",False,True,2,9,False,,,,,,False
