idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
2,refs/heads/master,7c831e5fc5f8757bb3751b9799f46a92f75e3948,b56b15368acae4367c4b2257603a6e5c12d3428b,b3b6e7ba7342d50501b987c4443fb8bc20d81e1d,,,,,,,False,False,False
15,refs/heads/master,cdf4755448462e57bc9f8916c744b29ff56ffda4,df1cbfee8822ffd1299f394f41675f276c9e7bec,8928c986123d49ebb00d799203a2e66890173ced,,,,,,,False,False,False
16,refs/heads/master,394b5676f929c72ebdf3f2c932c825a664d4918f,3e47ed7f6ee4e7f7109cad41a87bab9b1568713e,6940c282625d0e7c7fd020e1f003ecca9febd643,,0f82711b5e202e8d90d56b7f20bc61e324f27034496804e76f581e19f3683c16,Tests_passed,a9898cc8b54dee19f93fab41c74503bb8c801222986a9da41666c2b62d108377,Tests_passed,True,True,True,True
17,refs/heads/master,6940c282625d0e7c7fd020e1f003ecca9febd643,a8967b1f1de5a4a9e35aa4a52c6f98a66cd2f409,4cb11dcf6f3a0fe0ff93307508352ce96627919a,,09772c656eabddbda04901776f852230b38e7a7e61d0c2eb026b485a5d36d48f,Tests_passed,8c1d22179075315d7e0edaf19746b8c685dba22c9484f0701f658269734b4d6c,Tests_passed,True,True,True,True
19,refs/heads/master,cf02ae44244097df917240b3d1c084a056e88aaf,8fe9c318d7edc411c400438be3c8e07001013d23,c4e6be27f5af845fd63e9c4eaa7953fbd14dd1c1,,9997232c38e816378871571dbe85d913c9bba90d1d1f109a0591a8a4b8a5cec2,Tests_passed,647f612686f8708135f372f605644f76d3b41d457e258aad9ab82be947a2e7e0,Tests_failed,False,True,False,False
24,refs/heads/master,c29dd1ffe8e984658fc40542a0083d576e462eda,54e6c3d89cb38733e3f4a3f35a4a3c119343c512,f3948bd6f1872587fc709ec2854cb9873b4b9369,,,,,,,False,False,False
29,refs/heads/master,15727e536681967fb767fe201c2542921c8ad2b7,bcc82db4c0c9b3cbfd6361e2b1892aa6020abee8,55c67fc8eecbff5ccf2c652bdcb8fbbacc8791af,,,,,,,False,False,False
32,refs/heads/master,56fc2182807a04a763844f8bbb1b7ca3109d1d78,490c98c4544f2b09f0d6f45c6ba2a26d3a2b1013,0f03011b49201df2568eb9e3aa3f083eaf6045e1,,83da9ffa47db9d239387d55e5df450b16df11e26fdbdde64c62bc2764b764638,Tests_failed,4a99ac90088dd7336ea96c74afc52d6f2fc2486783202f33a45ad0059a52302f,Tests_failed,False,True,False,False
34,refs/heads/master,20db799e158999b6b705227d3c342a794706ecf2,2c5c0d024a0db410ab234943be6c77c0160238bd,7c33ca0c85be0824666a42a4c770fe3decbacf9d,,e20dbadbd1dc3211c021dbadfa20e1ce48886b34bdf965645a678ac24657fb22,Tests_failed,be8263c2fb997e4918d82d8e9bebdc997169ecc1e67700061046e1842e6ee45e,Tests_failed,False,True,False,False
35,refs/heads/master,2c5c0d024a0db410ab234943be6c77c0160238bd,9ba5591c92426b079467eee8fcc4a38aeaff65d5,640a2d26e84b34fce221ed2d1f5c721f014f6d73,,70589556c5302445a272c8d5ef4c961804e81f130376356841c8ea6417699ed1,Tests_failed,1076f499a44d9342c8c4a7bea4df342427dfb3c6345c53e1f98c578bcdb9fafe,Tests_failed,False,True,False,False
40,refs/heads/master,167cf572576529c6227c29a4ca9a586454324ca8,dc8abf1768034b42d05d86aae33d8b811fc9eba3,2995edb342bc2b79ef0b0061f15e3fb6526fb4ad,,e8119378f8edb55af2e252a7150bda56272db6e6b6d4f8c2dc5bf3f19623b02c,Tests_failed,daee5e4d407f46223598f8be19abcc74efa2f70525ddf08b620fbb86cc7908bb,Tests_failed,False,True,False,False
44,refs/heads/master,373c4083584a19a610bf25a09a13791ee2bc74e0,10c11d9befd07b452a2bf7b4ebaea32adb127c0e,3ff8d57b55984f076c26562c0ce3b1982f1bd650,,9f8d39a9d07dfa0f8259042452472a0454c28f8d797ecf778a9bc5f9068fe7cf,Tests_failed,d2e04c9a2ac5ac03dbc61d46cdc28098e8f0a6ca02df99961f81828a0a5e53bd,Tests_failed,False,True,False,False
46,refs/heads/master,3250f839ead5676384e43f6a2266f1ef6bee331b,f07a23e9c21fbdb7132ba7f63cf8b44e8192f3a5,a7682535391b2892c509daae8b17e6159f203f84,,fa69130a6c67767400dc028c921d0d08862b42b410be14396db134f50596be2e,Tests_failed,6db10a6ebe33d56534990661630f2a2d7b46699c84516875991dd6d784e2b1ff,Tests_failed,False,True,False,False
53,refs/heads/master,28588f79f65bc9f8e8178bdc2c350a670ed5832c,1022e50207f1c8a86e122d4ab3970a641977b8b5,9b0f15d252d4c28f90527982ee307b487acef722,,6c910ef0f677a5ac17c9c227e8295e1242f0d7af9a9bb9101df4810fb918837c,Tests_failed,a0106d133486d21d00dd5b005452e31d1b992b03ed178c5c51b9408b368c68b1,Tests_failed,False,True,False,False
55,refs/heads/master,3161ab1e118a3d3656c7582c87bee19148c056b4,6d69034533bcfe15b2b8807605e45bef02a6490e,a7d5dee938be6e59e493074f9c5bf50ac992bda1,,667a04477e0d0e64f1ff4658d6208b688508650673c6137b1fc56fa412654ae2,Tests_failed,9fd4885dd0c0a4b7cb8f4abc043c0e09edfdb939ad36615be05c31099cae5312,Tests_failed,False,True,False,False
59,refs/heads/master,9ad72bdab1b7837ad582fa6e9dc58307ad68305f,6f7d86137ed60682263ebc3b216e128ef445cacd,a72cf6cbdb0f776129648565fdb7f041991f3ec1,,,,,,,False,False,False
60,refs/heads/master,82c0cfab5eb1fc48eff082c817d9d4b7ae0e8bf9,fc4ee19e52441de19eaa2cfd8efb8f648f03bbb7,800145b016a023bc6e89eb4021943df7b8067237,,b8968b07b8dfebaecd1a1c27a26257c0d05c061fc9334714117bf1f64d974cfd,Tests_failed,d7e432ff0881a904d88bdbaf98ad93d0c9f3480fe55dbc5a9680af24dff4485b,Tests_failed,False,True,False,False
61,refs/remotes/origin/JENKINS-52128-make-title-parameter-mandatory,07e11ef1f067ce0c78121b82dd1a1f7355026009,ef28295d31dd5270fce66ee24cab21645d85129a,628bb8ac853319304836342fb73a8a3592386afc,,fc3ddf45fd141fdd854985ae855eb9c811f05114db2f4d3c4180e2fdf400d39b,Tests_passed,cc4e93e1e60bef2b9e0cc623ab6763724e599cdd84693f270b5d5fcb0d1d8f56,Tests_passed,True,True,True,True
62,refs/remotes/origin/JENKINS-52128-make-title-parameter-mandatory,b0d4bbcdee7318533ddb540c88e8cb19e804e30b,d788f7ddc70b318e7c7de3a9d0f66544c1035d9e,7e1243c0e105a4a084e2ed8d6a0e4aac0f8f1f80,,,,,,,False,False,False
63,refs/remotes/origin/pull/103,c9211155a5b6bb09ce3be912966fa8e538cf7cac,1c755e4d1f6fca352c856e63a74915f67f90c955,7250265b62e672b570e0392f391e3a819fb75094,,,,,,,False,False,False
64,refs/remotes/origin/pull/110,b1dea24c59035348f861eb4de40fbcc95585e239,1f56a29827b98a6f6ddc6027ac5722e20bd4af6e,4dc48ad30734d79ea1704687ca9af422aa4a93d6,,,,,,,False,False,False
66,refs/remotes/origin/pull/63,7e98d4459759d1563ad11f1a7952ba2d77de4f7e,0a45c0958a97b98ccdb1935de31199d3505e496e,2844c005890c39b7a8ff8a45bebb41554c036c9e,,,,,,,False,False,False
67,refs/remotes/origin/pull/63,caa723efd558acb6062d9eb2e383ec2408eaae19,332f61c4dfe36ba6f13f31c687dcbe18b7375c8e,1e9bb40076781a4d05ead31b7189305aa426ddf9,,15e08361f5f8c43bc6c71bd69f3b4186f065692ef4382d678d6c606ba2020422,Tests_failed,607188cf35e563b58ac09874be2f56bb90d5568c6d11aad919f96f6159713e9a,Tests_failed,False,True,False,False
68,refs/remotes/origin/pull/63,332f61c4dfe36ba6f13f31c687dcbe18b7375c8e,24b41dfe1222f8433f1d41578eb1ee389b87eac3,e47694578784ddf760a23e19393da6b19260abb7,,812ed206e6a9f5e7c3810511f8a52141d2dfc21cd7f7ecb36f3dc833664a70b0,Tests_failed,206465298b0bb084391d5a6af0fb8951c43214b8443a9973e9d5798b2d346e12,Tests_passed,False,True,False,False
69,refs/remotes/origin/pull/69,7d73450d6d551f5b7ffe493588755ac341ee15fc,ee1c7f3c1e79f056a2e38cd82c1233f2d69203db,3e47ed7f6ee4e7f7109cad41a87bab9b1568713e,,,,,,,False,False,False
70,refs/remotes/origin/pull/69,ee1c7f3c1e79f056a2e38cd82c1233f2d69203db,36b05fb1c86630998af527efbb7636260adcd651,4cb11dcf6f3a0fe0ff93307508352ce96627919a,,,,,,,False,False,False
71,refs/remotes/origin/pull/71,047e97312d44206b7c8b3f19c46aea40cb65b22a,448c2265849e8ab8953aef9fc16c510c879450ea,3c1ac06b43dcc820faeca28b71922231e682d429,,49e0cb0ef7afeded35b5996aea911f00758729e3eda26e8a7940029f126492f9,Tests_failed,23eb6d208ecc54e9c35c0b9f45b372253960606ce43e8a326beecf38fbc90bed,Tests_passed,False,True,False,False
72,refs/remotes/origin/pull/71,448c2265849e8ab8953aef9fc16c510c879450ea,5452f948cc32507035239f574e1c04efe23f4af7,3e47ed7f6ee4e7f7109cad41a87bab9b1568713e,,,,,,,False,False,False
73,refs/remotes/origin/pull/71,5452f948cc32507035239f574e1c04efe23f4af7,a0a12142954dff86caeaf19505f675c9c0ad2136,4cb11dcf6f3a0fe0ff93307508352ce96627919a,,,,,,,False,False,False
74,refs/remotes/origin/pull/73,9d31e9ff85c9dfa245aaf91cf33ba08850beceed,a67612c5f8e77580e3d07fcdad5d8d86e462bd7d,3e47ed7f6ee4e7f7109cad41a87bab9b1568713e,,,,,,,False,False,False
75,refs/remotes/origin/pull/73,a67612c5f8e77580e3d07fcdad5d8d86e462bd7d,6cefc20e3120f8ddf70d6bf3dc614f5468297624,4cb11dcf6f3a0fe0ff93307508352ce96627919a,,,,,,,False,False,False
76,refs/remotes/origin/pull/74,3b4dfe0907b058bae13e0d476e9a2817bb91f076,333e63a2783409de4f23bcd0a5cabeb6cd165674,3e47ed7f6ee4e7f7109cad41a87bab9b1568713e,,,,,,,False,False,False
77,refs/remotes/origin/pull/78,2df2ecb96f3c4653d2890e6852fe79532fb45693,f926ba1dbca1230f201f60cc0b018bdc117eed1a,b8d9e817f83c2c25ab7e201e63ca7df990486dca,,,,,,,False,False,False
78,refs/remotes/origin/pull/82,d416cfa77401ae2ed509e7ba019991f369afafdc,ad2a65ae8e04777e7a4a3debc21a50cc30c40f43,b4d5e0741ca3c5483117cc43e31799f9e5711a0a,,,,,,,False,False,False
