idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,84f62195c678bf504cb296ea76fce9ec7d2591fd,5d330bcfe4472a0b5b5d9ffc6e67dd296b717076,3c5335bc4d952b6ad4ab6bd296896cae0312ee86,,False,False,,,,,,False
2,refs/heads/master,ca9de5503b5a981f1f9915e0f9223bae7006415b,475ba15c9bfdd4f0ec5892601d330a03ee6d4007,37438eec1960528d81b3f752df3edd1d9746624d,,False,False,,,,,,False
7,refs/heads/master,ce424aa0f82b2383d13207fb1085c25c162b6b65,93a6926acbf2e9b1126ce08103adda93f3e7a303,7d64df4637f3f0ef182f9903ffd528401ce14e9b,,False,False,,,,,,False
8,refs/heads/master,93a6926acbf2e9b1126ce08103adda93f3e7a303,075e4e0c48bf3fbb71e7fab3ccaee84332564b81,73872d87e4c5eb8ee60930ff1b61102996f524fd,,False,False,,,,,,False
9,refs/heads/master,075e4e0c48bf3fbb71e7fab3ccaee84332564b81,36e9939bf34d5cf712f8e9dc9ba1fd5be04dfcff,ab71ce87bb5b089904800fe873def996d633d5ad,,False,False,,,,,,False
10,refs/heads/master,36e9939bf34d5cf712f8e9dc9ba1fd5be04dfcff,849cd8167934068fe6275126d9f67adafa1d2d93,2a675b9579d91aa681e856711238c60837d4b06d,,False,False,,,,,,False
11,refs/heads/master,849cd8167934068fe6275126d9f67adafa1d2d93,19713908d6b43eb41fd794d455491f736cbddca7,22038f439b4e8ec9fb3051cf286608141d1fe4dd,,False,False,,,,,,False
12,refs/heads/master,19713908d6b43eb41fd794d455491f736cbddca7,12d9e8e132203c38a06f07c78974b7cf4e6a246a,bf58fc38a9419a6a7769f9c6a627b814c6599211,,False,False,,,,,,False
13,refs/heads/master,12d9e8e132203c38a06f07c78974b7cf4e6a246a,f3dd20211f0973a93c8e67ca4110da0e0fb925d8,c17b57b0d22356e3178aaeebbb18a522477287a5,,False,False,,,,,,False
14,refs/heads/master,f3dd20211f0973a93c8e67ca4110da0e0fb925d8,6b9f13cc36be7690580220b6387b86166713588c,dba9b92e28461c7a1eba22001271eb46fb7525b2,,False,False,,,,,,False
15,refs/heads/master,6b9f13cc36be7690580220b6387b86166713588c,7a130e7c428b909c4d2260c86e6540292fe5423f,ac2e86d6fb9558df409fb044a196f09eb44d8716,,False,False,,,,,,False
16,refs/heads/master,7a130e7c428b909c4d2260c86e6540292fe5423f,c6eaccfa23bc98d2dd21701721bdeb21fa20d64b,664ebf9762ab2bebe7e56f57ce5c036baa8f7589,,False,False,,,,,,False
17,refs/heads/master,c6eaccfa23bc98d2dd21701721bdeb21fa20d64b,9df22ae535425c2960c45ba51798131e4bc6a1bc,11c83b6f328e0663bdcba28098f0b191c955ecaf,,False,False,,,,,,False
18,refs/heads/master,9df22ae535425c2960c45ba51798131e4bc6a1bc,61037f9d529e7f0d3b80f02e326e86b1eb8ff9bf,318a429535645687ab87ced96a6182f04a8282c6,,False,False,,,,,,False
19,refs/heads/master,61037f9d529e7f0d3b80f02e326e86b1eb8ff9bf,8dfa941060d6957a325b91d1749558855ce28e16,949c02b68d3be1f9f343a6868a73cd5747030cad,,False,False,,,,,,False
20,refs/heads/master,8dfa941060d6957a325b91d1749558855ce28e16,59e7216c0dfe0d8d0c0c68344077142e4539523f,1b706c0ac04a75935eabb10345733b2310528565,,False,False,,,,,,False
21,refs/heads/master,59e7216c0dfe0d8d0c0c68344077142e4539523f,dae2e9c176f73aabd8c2a8b101a185cea01d0c78,8d46f5c9831243386efc68915da240033169a65b,,False,False,,,,,,False
22,refs/heads/master,dae2e9c176f73aabd8c2a8b101a185cea01d0c78,1044c666bc51adfcc824a415a2cd3c23473f875b,23bd17d43b7a4bf4c7fed36a19332dc4219ce269,,False,False,,,,,,False
41,refs/heads/master,8093e7ef43d435726f9a204c6b57e9467d1db4cb,24df42a7b796c7208799974934290f913f43d512,4ee7786e12277c6aed80d4232e54b83b56d4ce08,,False,False,,,,,,False
