idx,branch_name,merge,left,right,notes,union_diff_files,num_intersecting_files,num_diff_lines,num_diff_hunks,diff contains java file,imports_involved,non_java_involved,num_diff_files,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,f96e05486c8dd41084214f4b838a87f178be0aaf,5447d306ea80a0456d238bfb9efbf00f751888ec,0a428f6e1666a631634281f20d25247cc5113391,,19,4,393,50,True,True,True,15,True,Tests_passed,fabc06883f3f15ecebc660147510299fb0202b9e403e0f6cfdf7b36ee7bd85a3,True,Tests_passed,be577c7ab7725fb84c2ece1e68b42ad70e3305cdc1a4f05914713a7bb4586935,True
2,refs/heads/master,401b61c74b322aaea0f74deebdcfc0cf4b26e314,697b973d67c4b3d183e586e18abe45be03295125,95dbdb8e58b2e7015eb32b67967e39f701406611,,10,0,331,11,False,True,True,10,False,,,,,,False
3,refs/heads/master,95dbdb8e58b2e7015eb32b67967e39f701406611,da92cd057d441dd2c13d79cf564b995063ec1d3d,0eb6fd8464b7814d5f1a9588086a53e0633f2ccc,,16,2,1751,192,False,True,True,16,False,,,,,,False
4,refs/heads/master,435ecd93248d64d3d34f9cca97bb8eec7b234d3b,37db515a8cbe5dac8e02d60efc0730d30a145c2d,377ad421e0d6d991183a146ac1f653fdc92dbc58,,15,1,1416,158,False,True,True,15,False,,,,,,False
5,refs/heads/master,906845cb227925e30fd233884a705fd228a443ea,17c5a14159871cdd1ff222869741ae874af805a4,7eed63f4a3b9f13578d3ec6ec515fffea0c0794a,,14,1,541,29,False,True,True,14,False,,,,,,False
6,refs/heads/master,12a5b54313fe7c4a0abfe425e4bf68296af53115,3212bad1c02fbc06c4d7e400b0bac87980f320e9,002cb47b460e7353d8fa0217f27787658c51a049,,10,1,219,12,False,True,True,10,False,,,,,,False
7,refs/heads/master,995c25dc87eca84847991a1217944c665e69a7e8,90602c52df891bdf08c0679cc136d4eb55fc0416,3535f3bd940d81277f5f4f4c0677664370f0ea5c,,12,2,370,21,True,True,True,12,True,Tests_passed,2e0a5ff305606962941f26297bd7e52c44df441b71a370d21cf81559923c5c1e,True,Tests_passed,807337aed3817eebcaa308e4df75bedeb82a9f5c67c2590e56392762b74238dd,True
8,refs/heads/master,b0552bf28d15cb72e4cb848baf5d40cc59d2977c,be08a67f0822179f60b5a9d52475da8ba72bff0b,b8b2e3962a3d24f24c1ab123b866a1cec2fcbbff,,12,1,612,19,False,True,True,12,False,,,,,,False
11,refs/heads/master,5d91930a863c887977ddc8fec73f6fba262b54f7,fc9e7ca188db1817f59cb5611b3477ad2a7ea387,6a7fca5f2401d790a4fd47b779e9b3e42c7c6200,,15,3,776,26,False,True,True,15,False,,,,,,False
12,refs/remotes/origin/dev,7751662663c18ebafffc8b33441ecc742eed6849,ac8d7ac72b62150dbd4229cf4d0fe3eb76bc23c5,091a94c6d4c67b9304fd25cd773e1904bf090b8a,,16,1,479,18,False,True,True,16,False,,,,,,False
13,refs/remotes/origin/dev,ac8d7ac72b62150dbd4229cf4d0fe3eb76bc23c5,56c08bcd0ceb1ddf1c0f73edc6d3469bd75caa6c,b1c5432e0daf3379a7502990d7a35454367127ad,,16,1,505,20,False,True,True,16,False,,,,,,False
14,refs/remotes/origin/dev,3117243698a5f0c77ae34f368a94aeef9f11cf63,3d00052b3b991051b4b71bc4868c431a2c32af2b,1b1424f3b7a129e00c2851c446e88d0d45a589a3,,20,5,504,16,False,False,True,16,False,,,,,,False
