idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/release/4.2.x,31a1102cdb2511f58e571771490dae2d49555c42,fb02ec5dea52d09241c1479a14f0e2708799eea8,dcd65b1dab15c0d40070a5b8a778901c277081d9,
3,refs/heads/release/4.2.x,3fb51c3de35e02b4bb996c07840be9b086898bde,57bd01f88330e3865942a66dce44a3403432f18f,abadcf7d1f71519b7b60e9aa22753b216f101aec,
4,refs/heads/release/4.2.x,0fb0b3e8c378c111d9c76ffdd2e3d1cae09e8bc9,3ac20d3c1abe23a92abcaf27b37d2f8c826e40d0,a993f39c40435b7c42e4f9e2e1766c70261e25ac,
6,refs/heads/release/4.2.x,6fe81f8958e599fb448dfa04364e6307924f3e5a,a370bdf0575368f4355a8c97c19e15bcefed3ce9,e12906e05c86c35b86dee37d8b889c55debd557e,
7,refs/heads/release/4.2.x,e3fa852751010de35b94ff5d4c6b48e53fec009f,d54dee16752b94758b8fa122c1a72955a21acd34,e0b84c892aa866ca02330bd8862ff988890698d0,
8,refs/heads/release/4.2.x,280e7768d5dbb88722a83282202daf8c412095e5,81102cfddd279a89488fd281bbaf9bfb35691aa7,acb935fec9c0892458622f3e125a91dfef5f0d34,
9,refs/heads/release/4.2.x,f93410fc9bc5bce9c2a8bf0af3b1fb4d85af9aaf,c63a979edaf3040486ebf66c4c95dc2dec38c669,57de13076a3ca1b721b3e1f5ff481b16d98fd1fd,
10,refs/heads/release/4.2.x,c63a979edaf3040486ebf66c4c95dc2dec38c669,8e103d567dce5d053a75e8868c52a979c2dcef61,158aad6758ded46885361833bab5d459a0bf8073,
11,refs/heads/release/4.2.x,3c31a124bdb34d2b8554bc34319b2b761b9a2ce7,42a762176ed8656a044fa555b88797f6ee001767,29187118251d70a0b5c7d98d85154be90f6aa54f,
12,refs/heads/release/4.2.x,38e46731ba87af93937d12efb5ca383542363750,b9aff95438b2d4aa2ab0957be5bcf48b488cec86,05fa6e68df17182706242d71ca607439178e9499,
13,refs/heads/release/4.2.x,b9aff95438b2d4aa2ab0957be5bcf48b488cec86,5c77005044986413e7db9ff7ea989405f29f852a,ce530fcb57062471cf45f6752b5f05dc6194d4e3,
16,refs/heads/release/4.2.x,d3445721471e0547b30b457f636a7498d35862d4,948986b8b211b313b50e6434e06ceac87953183d,62d6c0bcccc37a2f6ccc08000379c9af97d4bf48,
17,refs/heads/release/4.2.x,948986b8b211b313b50e6434e06ceac87953183d,63caa7e15b780ed09784e53a9e86e53bbed340d9,a34c26cd4739b08bd3ddce5d9d0fd3a0812b4190,
18,refs/heads/release/4.2.x,638ae8dde6fbc9d228c45c9eb7a8a5830f2cb33c,05ca4c98dd8757e298a06b46f6985585aa036b4f,f4a2c58623b0efe6ab694d4ff598eb0c60b650fb,
19,refs/heads/release/4.2.x,05ca4c98dd8757e298a06b46f6985585aa036b4f,202276fc37c35a33f37220b7f5850fa892d567d8,e4f36bbd0bac6b41c1c7ec2fe4a9969a333a2ff6,
21,refs/heads/release/4.2.x,2846009e2d9e0d21a3a8bbb0f1867c3f0c5ad51e,8f511a7850384b70f298e576d54fd43a81b2f141,67e3f034bc8e82f3ea48bc18b8e070faf0bef220,
24,refs/heads/release/4.2.x,0e4dd07bc290a25c2e8aa71f3fdedd69a3e408cc,6fa9398cdb24e8147bb129283efaa3670601f36d,5232a81f4663a6b007a7a017d48ada01e99b0bf3,
25,refs/heads/release/4.2.x,6fa9398cdb24e8147bb129283efaa3670601f36d,1f9caec13467843bbe2ecd39c981610d584fd424,e330f82b259eb93d0f1a42a1a26394da2829b709,
26,refs/heads/release/4.2.x,169992f90d4b350071ed01ed146ec65677a5726f,e71caf288b92d584c6c48422cbdf8673b1a1fee1,6965ed423fdbbaa4c1f42df5633e257da78e7ea3,
27,refs/heads/release/4.2.x,85072bb34478c774380ff40056d6f6378a28b92b,e2ea3b4bcae9e824e3078296d6d8a786e7252651,a5fda4e70e2e598c0168491d6a0762cceb13a0cc,
28,refs/heads/release/4.2.x,c6c36af8111be9aa342925fa9273a5cee8f29d0a,1ea498b01493a7a9643d6e69230355bd16165647,8e5b3198fa8628af95b807d4dd4371f461253d15,
30,refs/heads/release/4.2.x,ecaeb95e24646e3875a3da374129ebefd88d8ff2,469e16d5c268419883d1de41069d945e8f6b414d,52ca6027105b9cda09836f35bba7d240b9be31cd,
31,refs/heads/release/4.2.x,9a0629f6ef733959c4923b4a12909ce3d9c682f9,477bb0c490f5511c2933a9c61d991eac11df164c,a0437d7e16cabfbce316472efd5b8e1f8ea60313,
32,refs/heads/release/4.2.x,471038fd80bf10041cc66d286134b4bbe582717d,bec538046f37f21fb8948de7b1ad94b079cc97ff,460b5ff479585735206c7a93ef2958880a4dde3e,
33,refs/heads/release/4.2.x,bec538046f37f21fb8948de7b1ad94b079cc97ff,9b3d79d96e2479d44bfc482260d3cbd029c73da3,097e583362037fde1a30c486937b59f7b81e67e9,
35,refs/heads/release/4.2.x,63d5c8f68b155df712a4dabcf2b3fa476225a493,235479ef34a8b354561947e67bdd750b740ad3b0,39a7115b8f4d16a3c79e3f4542e7d3fe72fb7966,
37,refs/heads/release/4.2.x,3500c6aaa806031155bd8083f713e962d9291b00,95e88696ffa5afdee77852683255bd2935743af9,1121d67982b9793cb424d33f3a91a84ac416244e,
38,refs/heads/release/4.2.x,95e88696ffa5afdee77852683255bd2935743af9,1e4c5e2a3ec223e9512ca4a3045e17e29436e200,f61bdd4a41b795a773bdc79247b5c0aefc128272,
39,refs/heads/release/4.2.x,1e4c5e2a3ec223e9512ca4a3045e17e29436e200,8e417fb39c3c915312d45b6ad289ab286ff8dd41,2e7f9d1f20f670985f643f7caa3cd8c725d26067,
40,refs/heads/release/4.2.x,8e417fb39c3c915312d45b6ad289ab286ff8dd41,108446dd8880728b941a0f1461b6bb9d2b25da3b,b9ad643c4133e1ad5ee75c4e19cf8e2869c601cf,
41,refs/heads/release/4.2.x,108446dd8880728b941a0f1461b6bb9d2b25da3b,53419ff25ad04ac1aeb10d3a1e96cddd74fe86eb,ad4a908644c2ab303f161682c757eafe65e73bbc,
43,refs/heads/release/4.2.x,52cf177646617339146557af604475caf0b1c973,b25473a1c61b14cdf70210d8b57ea590e6aa0c6f,d988fc9b2a05191af54293386a76441e9cc6cd51,
44,refs/heads/release/4.2.x,b25473a1c61b14cdf70210d8b57ea590e6aa0c6f,2f7f6aa7b344f03fd16aa02f0678859c143dd7c6,83f471779736ef52931baa0667d9b84eb256d999,
45,refs/heads/release/4.2.x,2f7f6aa7b344f03fd16aa02f0678859c143dd7c6,8d70e4767a181fc8a9e33f2a399c00d0c64f662e,a5cc537c19a69ea6322b031f1502b5464409bfc0,
46,refs/heads/release/4.2.x,8d70e4767a181fc8a9e33f2a399c00d0c64f662e,1b793f08d9e2903a9efd9fc5d15eb5904aa86d06,e4133ec6a784a9d0f3b69ec8bf743842c5fc374d,
47,refs/heads/release/4.2.x,1b793f08d9e2903a9efd9fc5d15eb5904aa86d06,799fd5513554a4f90173ba1888019da602f66167,dec8e592779987ce15a05816fc2e31770389398a,
48,refs/heads/release/4.2.x,fd8fa51e27175346475c3af2a41345cfa27f1f3c,32e941d43d53ab51566f2c5a989278242e86f4fc,088d82916cd31479de178a6dff308c5a67f4b7a1,
55,refs/heads/release/4.2.x,e89001dc408739633d1deb2f10ed48776fa166d2,fc0e5f104a4d513454cbf8cd8f10586867e3255c,37304bb32889493bd126c8369467d7010a2a21b1,
61,refs/heads/release/4.2.x,7ea8661c2f0a7a948622e354687e157c93ff1873,5b858563c7b5cccf4027d19b0ce8ed5c4cc5ea5e,69a6007d946f291f6e6e471a29baa5688ba92095,
62,refs/heads/release/4.2.x,6a661bcb948677e2e57699448e78d9c33de695ee,0591d536f70d694dc94fad2c3c6b4fbe84fcae70,3eae6e8ca72a1aebefd98b3bd293c084c7751700,
63,refs/heads/release/4.2.x,dc42f97b8bfa3f83321d4124d1bd64c88f098f03,4292fdfdf6ccdd77e61a614d7c7543e1a059ae41,bde74fe6be55934dc83e90898217199b72cea685,
