idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
7,refs/heads/master,4d64e68cba19c8b944b2a7bbf7713dc73f8073d3,63df18cc3c79c6fc774682451848d3273587bdb0,cec2aeb1727d209f98520a90fc6794b753453eb7,,,,,,,,,False,False,False
8,refs/heads/master,707be86f1de2d4d209acb3fc9cbc8136625ea982,6af83c73df69d19c26a5af8d7d32ce3db7c4d431,e8210540d7eeaae76f264bed23432aedd124a6c7,,28a808d2afd7a3cc9634e5c2f3892006ce13283b01f23fdeed07938019545074,Tests_passed,1.0,b785b08ea5eabcda424b0c058db30044a88d73d15c3cf6f9e50200cb2cf22c92,Tests_passed,1.0,True,True,True,True
9,refs/heads/master,e8210540d7eeaae76f264bed23432aedd124a6c7,0de549660f572de782c21f863665439668eff155,e52787f0e6728ffa32d3dc0921f87c8ddb4fd9b6,,d91460d69f42bc9b7cb6de2acb0f00b64de1d16beb9643dc2fb3b0781c622fa4,Tests_passed,1.0,c523538675a37e8fe0637bb764073928076fb6f6d48babc4848ddb74262bea79,Tests_passed,1.0,True,True,True,True
10,refs/heads/master,0774e3b7187a93abd0f7eb65a6ae1dd6a52f3153,2a987e862effa8a59399eca455a49d98961c2ab9,4f521252fa9f2eb1f6718814d43065dd87d7b100,,b5adae9a709119627294b10532e7016cd9c264eede836d55d42d47711d2fcd87,Tests_passed,0.9942335415665545,b2b90fdd9210ba6ffa72a1c9a1a0047ad2cc91fea215faabf9e927ec8269e93a,Tests_passed,1.0,True,True,True,True
11,refs/heads/master,d280483edeeabc57247e1753ac0c161039f6e604,20107eeab64668b6f8793a293b0b1d293b4af69c,fffc34fcbd3cec7c8ce0ea88d7f3435fa020d3b7,,f485549a8998ccdbde26be431a12323ab5c63de3b2b22a742c3b85e66197d985,Tests_passed,1.0,65b8a4dd6b915f61048b24974e4c01f04cf2f65cf0fc76d00573b0c938d03d35,Tests_passed,1.0,True,True,True,True
12,refs/heads/master,bd93188f31e973a7d5b0e78793ea835fdce1cb33,f6ba86b0a3af74c18bcb34543e9380715717249b,7330f39f1a999800cccc9964670bc1a8702e659c,,ac9c0110089c9342f2789253529025c78c3846d5a9df1e3cffa8bd9788c9ed01,Tests_passed,1.0,8ae2483bc6cd29cdc36e911baf2360e6620f53ec7bcace254561de7f956e968c,Tests_passed,1.0,True,True,True,True
13,refs/heads/master,56bcfaaad57109dbf6201ebce9ad5c1b183af4b3,ad1bdefdf940a5e57bde5d45f5bc1783e0b2b4c6,7587177b6e6ab9c49e61f1897f69477bd4c1714f,,,,,,,,,False,False,False
17,refs/heads/master,9d9477394ef9e84991cdbd680e958a8810246d5c,9cb582657e3595b8221632509ee348133eda3c52,0a240c6dd08e2d24ed94093c78fa2ab8fdf3b60b,,60aedb9bc9ca517ba88d741ffd217e31e2f3512645b29782af3caa9c18598d75,Tests_passed,1.0,0bdb6f672d5ca0f74067486f3af49a2e2cf1c883b6db3ddde793363adaa89fea,Tests_passed,1.0,True,True,True,True
18,refs/heads/master,7427c57b931e1c9548227a7a0ea10dbead15edef,faab400a3cdc78dc7f9ef221d79129043c414baa,54f7ed3a72afe1ab1626269655ad64d824d7a5e2,,cc78c9a90f15cc1af397195afbcf2b287a34dc4f4e134f09c31fb54756d78c6a,Tests_passed,0.993890977443609,db69dc60d0c8900ab08d3cb70719f8e82fb9b22d2f9e46c62d1ccef4cceb15a7,Tests_passed,1.0,True,True,True,True
19,refs/remotes/origin/abstract-encode,3ca20c7cec2307e0635d9d64a4a4b4da8ddc21f0,29dc3e6d1d88c452ba5b0331c2c9ca9c6fbf2b6b,67bf283be751fb76c58da845326a7d432e5fef35,,,,,,,,,False,False,False
20,refs/remotes/origin/pull/25,804b3a56a87db0c4216c47cae5df6c90c3009720,61acdf8c96f148c0f4b997919df9020270f9783f,6598c0b8c947e92252f637262fb193a4f776a628,,a27064db0b99f4feac9d419277389b0b8d68cb432944fd68391ae26e9b8bd311,Tests_passed,1.0,da272edaee7b9941e878cf19cf9f44d464402d8cadb9d203316dd9c20415f442,Tests_passed,0.0,True,True,True,True
