idx,branch_name,merge,left,right,notes,two merge tools differ,left_tree_fingerprint,right_tree_fingerprint,gitmerge_ort,gitmerge_ort_run_time,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_run_time,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_run_time,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_run_time,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_run_time,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_run_time,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_run_time,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_run_time,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_run_time,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_run_time,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_run_time,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_run_time,git_hires_merge_merge_fingerprint,spork,spork_run_time,spork_merge_fingerprint,intellimerge,intellimerge_run_time,intellimerge_merge_fingerprint
3,refs/heads/master,f9c915cb8581278a8d941173044ffc8ab0270cdf,f09e6d63416549a928893d06974aa643935e8919,2e88cdc1a4bb586d7ed76d4b47e8b4b7d85cab6c,a parent is the base,True,bf2dec7bb6057fe4a38917c26584aae7e49d7b18bcb35330ea91821cc2105650,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.0372769832611084,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.034349918365478516,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.03620457649230957,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.03513598442077637,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.035320281982421875,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.035125017166137695,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.03531479835510254,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.03508567810058594,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.03361964225769043,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.036203622817993164,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.03568124771118164,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.030258893966674805,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.05100393295288086,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef,Merge_success,0.7316386699676514,69411e590e2a6c533b938ce23101f05dcdfc6919bb9f4f80d94d9ef5f5fde0ef
5,refs/heads/master,90fec9e9b56155159ba3390f0d4113980ac42786,c25aff7bf67d4d8bca159cc1c0ade7bbd931d8fb,e3843366dc597c622deae39ab911836ee91bd7dd,a parent is the base,True,88561508111c64cca4d2a041bc8c5a0a82f919822352129f23c01c960d0588c9,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.03729581832885742,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.03612399101257324,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.03898167610168457,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.03776073455810547,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.03613424301147461,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.036409854888916016,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.035329341888427734,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.03966069221496582,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.03749513626098633,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.03729987144470215,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.037923336029052734,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.033402204513549805,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.05601167678833008,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094,Merge_success,0.749631404876709,df3aa26461bc1ca765d5e7f087199af6238403cff2084cbc4a9cdd89c3264094
7,refs/heads/master,63fa9a7bca1f007e9141ef172bdda154c96df011,05374f60f72c849af7e3e065869eff9b7ab77010,c068916eb80625b6027be06da2413a63a88e49a6,a parent is the base,True,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.05127310752868652,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.04856133460998535,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.05157303810119629,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.04967308044433594,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.04680323600769043,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.04988694190979004,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.049985408782958984,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.0498805046081543,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.04725480079650879,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.04877614974975586,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.04784727096557617,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.04488396644592285,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.07079148292541504,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523,Merge_success,0.9298000335693359,b3551b57e78452e8a1a5365fcb287da2670c0e81f4cb36a03a7bf3b545fec523
8,refs/heads/master,05374f60f72c849af7e3e065869eff9b7ab77010,bb026c688ba1cf532305f0ddfae36999a730ca00,53313d556aa047df464349f548d5500eb55ec678,a parent is the base,True,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.04202389717102051,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.042546987533569336,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.04339456558227539,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.04280853271484375,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.04303884506225586,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.041934967041015625,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.043903350830078125,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.04385733604431152,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.0413815975189209,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.04485940933227539,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.044242143630981445,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.03789019584655762,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.06165671348571777,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d,Merge_success,0.85854172706604,3b3b18197a9401bcb6cdb1506fa83bb1b9c2fd3cca48b30748862abec357106d
9,refs/heads/master,bb026c688ba1cf532305f0ddfae36999a730ca00,ddc2e46ffc65fdb43bde8db6346f56a1ef6f3841,63b7e6f4d660ce5fabf199c75f846ae7aae70b2a,a parent is the base,True,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.044689178466796875,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.045914411544799805,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.0445098876953125,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.04729866981506348,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.04712319374084473,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.04743456840515137,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.04468417167663574,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.04460287094116211,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.04858660697937012,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.04648184776306152,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.044708251953125,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.04140806198120117,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.06427812576293945,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9,Merge_success,0.776787519454956,b28e17b1fb9db0f9cf4ba34f105ea72c44f64b8a42155b7bceb931f0aa1cfaa9
11,refs/heads/master,ddc2e46ffc65fdb43bde8db6346f56a1ef6f3841,5665fcc4d34992d6fb01242bb52f1aa9c437aa0d,8b1f070b1fe9e44ab4308ab7c1f7f7e699947277,a parent is the base,True,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03679347038269043,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03779911994934082,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03520393371582031,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03532910346984863,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03757166862487793,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03665900230407715,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03912806510925293,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03537631034851074,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03664970397949219,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.035299062728881836,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.03648686408996582,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.032822370529174805,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.053820133209228516,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362,Merge_success,0.75197434425354,4299eba1c41b92acd22aff8da8937e41ce49d158282ca3adc4c54bbe09835362
12,refs/heads/master,5665fcc4d34992d6fb01242bb52f1aa9c437aa0d,bcd963cb10913021b8f81f8424ed56941f3c8e3d,ea5bfabe3350e107ce910289bcbddc3b9bd32d8d,a parent is the base,True,a06b10d8417e5883fe2933999c7bc2a92deb52528a378cb8204fd82494bcf8e8,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.04345202445983887,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.04730486869812012,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.046163320541381836,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.048542022705078125,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.046935319900512695,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.04890275001525879,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.046877384185791016,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.046971797943115234,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.04593205451965332,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.04699993133544922,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.04662132263183594,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.041378021240234375,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.06404328346252441,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1,Merge_success,0.8416831493377686,8688cf6f2299000e9e81fa39b80b9c9c992d90b253ee815c2da5533dbd983bd1
16,refs/heads/master,bfe0972fd1b036188f3ed96f8889ccfa627d9fc8,635c55a7e681cb6ca75631c2a06b10e88c549012,61dc6589045a02fc1ac849d2d3ed7df7052eff55,a parent is the base,True,ccd99433f4cbf990c57f5cdb5a1e7f2b25693f33b132b115e73da64baccd1f88,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.03765416145324707,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.03846597671508789,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.036252498626708984,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.037091732025146484,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.03499650955200195,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.03685951232910156,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.0364992618560791,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.03699898719787598,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.03821063041687012,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.037755489349365234,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.03899192810058594,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.03265023231506348,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.05379223823547363,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c,Merge_success,0.7606918811798096,6f141a21963d19f97ce3c704188952a792874b0bdf02b4b33e3ded0e6ed9a46c
19,refs/heads/master,f360ccd48ec083e647823bc651c2c2d8c2e6b3f4,ca16635d78d2228b8b35e4ecd136fc03f56c04c7,158050e34e2f2e201643e657f3fee6559287f90b,a parent is the base,True,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.033991098403930664,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.03209877014160156,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.034175872802734375,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.032404422760009766,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.03139376640319824,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.03475761413574219,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.03154802322387695,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.0316469669342041,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.03276801109313965,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.03283548355102539,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.03238630294799805,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.026597261428833008,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.050890207290649414,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb,Merge_success,0.7478337287902832,614e1ae09095ce80cd20a58402c7a88ae02b3166da7b6a58c868ccecf3ffbafb
20,refs/heads/master,ca16635d78d2228b8b35e4ecd136fc03f56c04c7,39183ceddbe1e7b9a958f0db7f7f69d241bf5e8a,37b97fb54ef61de7deac4b70f9dfcd2925a38d47,a parent is the base,True,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.039409637451171875,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.04002237319946289,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.04128766059875488,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.039299964904785156,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.03690028190612793,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.040270328521728516,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.04061555862426758,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.039655447006225586,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.0399320125579834,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.03902554512023926,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.0395510196685791,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.0355226993560791,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.05626940727233887,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f,Merge_success,0.775165319442749,443620adf24fe474e8391f52e0e18fe8de2f1428fb570cc4173b76402a1d695f
21,refs/heads/master,39183ceddbe1e7b9a958f0db7f7f69d241bf5e8a,c9e3a59a10828ddd0827ab01acbdea5dc56167d1,2862d39016016241a5d6b9f3b879b876cec68993,a parent is the base,True,df8f23aeade74aed341f4b5458679c7b08d5f717dd8fb836ae5926684b3e382f,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.039069175720214844,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.04068160057067871,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.03972578048706055,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.0381772518157959,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.040474653244018555,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.04122018814086914,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.04067277908325195,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.04258275032043457,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.03952741622924805,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.03992938995361328,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.03943824768066406,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.03618025779724121,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.055541038513183594,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df,Merge_success,0.774641752243042,f8cf83a5d01ccbfdd2a792a74ee79e445f008de806607e612f9fb967260887df
23,refs/heads/master,f82779d3bfbb3d64bb27fb245ff4e04482feca56,06c312ef42bd53a99d997cee713dbdc9eab95fd5,7a0bd5b38fb04631ff2ced713fd22d025598d162,a parent is the base,True,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.032958030700683594,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.03511929512023926,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.03347349166870117,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.03608107566833496,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.03487277030944824,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.03538990020751953,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.0349276065826416,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.03324460983276367,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.03444480895996094,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.03649783134460449,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.03454232215881348,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.030301809310913086,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.04817080497741699,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4,Merge_success,0.7270488739013672,5d7c02def19542dcef1142cf581ef3e881697aa05366216efc05bb13ef7f7aa4
24,refs/heads/master,06c312ef42bd53a99d997cee713dbdc9eab95fd5,947db8c4cf520f01330caf701d43037b2d4dabef,bb8b3132a06c4408f78a8968a095c382faa868c8,a parent is the base,True,c38a9c4b6c531df630e0604eabb31c304feed8b68d77a019407d9cd4838b5810,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.03135347366333008,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.03246355056762695,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.031708478927612305,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.03217625617980957,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.03321027755737305,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.033615827560424805,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.03339052200317383,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.031723976135253906,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.032796382904052734,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.03099346160888672,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.03238105773925781,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.02747941017150879,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.05028510093688965,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df,Merge_success,0.7035553455352783,c60388da2a3a25fc3d26f7743063ad9f563e82d844a5768630285228945018df
