idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,b5a95562b76ded354db560db41d7d3f923fa0a67,8e2346c0a3d6fe442bf65c93a085ef9246b3053a,275a77071ad157f84bbd78b2df76dba8d9277e22,,False,False,True,3,2,8,1,False,3,,,,,,False
3,refs/heads/master,8e2346c0a3d6fe442bf65c93a085ef9246b3053a,9ebdfd2b35447314ace763af0bb8a4e3e82f2a17,30e474b9bed3075c7cf7fe19cd263e68cd7c5871,,False,False,True,4,11,63,1,False,4,,,,,,False
4,refs/heads/master,f59e7d0a504fc76f9d3b21dabe3071b0e791c959,8fada08f7b8357b512d7b59de0858e819816414d,eda94202b5e056de486bb925f68ef05137649135,,False,True,True,33,58,738,1,False,33,,,,,,False
6,refs/heads/master,8fada08f7b8357b512d7b59de0858e819816414d,557977c0deebb88a3a3c730ea918cab42756fa8b,c076034e96a48ea12e2e11ebb73bc013ded4765e,,False,True,True,32,57,737,0,False,32,,,,,,False
8,refs/heads/master,557977c0deebb88a3a3c730ea918cab42756fa8b,6dc27603c281a2fe81912ed783ecd782c78874ad,c243fc93224a2012cb88448a6b462962be00b7d4,,False,False,True,3,5,35,0,False,3,,,,,,False
10,refs/heads/master,6dc27603c281a2fe81912ed783ecd782c78874ad,7870b9b7cb5881ff593871eb7f5555bc11aec18f,5c5d048b557de67f84c8caeaabe7e5a1d91ae48c,,False,False,True,9,9,48,0,False,9,,,,,,False
12,refs/heads/master,7870b9b7cb5881ff593871eb7f5555bc11aec18f,58292af92b23e3abc519f7f799e55d1eb0d376bd,eb74ec677e41082cd4e2f6e87780b62b9c180f0b,,False,True,True,9,33,161,0,False,9,,,,,,False
14,refs/heads/master,58292af92b23e3abc519f7f799e55d1eb0d376bd,86c8b325fb175a006d218569bd0fd7d735746e6a,3c0e4a108d204b0221a382fa176e4987bdebf9b4,,False,True,True,6,19,99,0,False,6,,,,,,False
15,refs/heads/master,089700e5092ae8b17d0ccb91ce23109100070550,1dab3279c16a7a7fae72322e70d01a340c401095,647c9093a0c3d98f0b93c637add0db509004f39b,,False,False,True,3,3,6,2,False,3,,,,,,False
19,refs/heads/master,b519a81e16c606661e850e95c16bf55b77a437ef,47e1f38ad97d340cda1a83f4a788dd1db91a7d64,b8107686833acce7ff5f346a446be437aa9395fc,,False,True,True,7,6,224,1,False,7,,,,,,False
20,refs/heads/master,877fb61c7cb174a3f0198824f9a9dc7de03ea18b,becb8ce5077912d31e59ce5077df220aaedbaf74,150dac8a26767e3d786b82c79985cec86fc12c63,,False,False,True,4,4,20,1,False,4,,,,,,False
23,refs/remotes/origin/pull/8,57c09cbdab0ae264fecad54fa6c799107f9dd0c9,45d2bc45d850cc66d68fa517893c869bd4cb941e,eee42a6c19c1488c234792c79963384ebb5d2150,,True,False,True,3,10,76,61,False,61,Git_checkout_failed,,False,Git_checkout_failed,,False
